Timezone,(GMT-04:00) Atlantic Time (Canada)


Start of the hour,2026-06-05,2026-06-06,2026-06-07,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-13,2026-06-14,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-20,2026-06-21,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-27,2026-06-28,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03
00:00,0,3,2,3,2,2,4,2,0,2,5,4,0,2,5,2,1,6,2,3,2,0,1,1,1,4,2,4,2
01:00,3,2,0,2,1,3,3,1,1,1,1,2,0,1,2,0,3,1,1,1,0,0,0,0,2,1,1,2,0
02:00,3,0,2,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,2,1
03:00,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,2,1
04:00,0,0,0,0,1,0,3,0,0,2,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0
05:00,1,0,0,2,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,3,0,0,0,2
06:00,1,1,1,9,2,4,0,3,1,0,0,1,0,4,2,2,2,4,0,1,0,0,1,0,4,1,2,0,0
07:00,6,1,3,7,2,5,7,5,5,1,4,8,5,8,4,1,3,8,2,2,5,1,2,2,7,0,9,4,1
08:00,6,7,12,11,3,8,4,4,4,7,9,8,4,9,4,4,6,5,3,5,2,3,5,5,2,7,5,5,8
09:00,8,5,7,6,6,2,4,6,8,7,9,6,8,6,8,12,4,4,6,8,9,5,12,6,4,7,3,4,7
10:00,5,8,6,5,10,5,3,8,2,5,7,3,8,5,6,3,2,6,12,7,6,4,0,8,6,6,6,8,3
11:00,3,6,2,7,6,2,4,1,8,2,6,7,5,2,9,3,2,3,6,4,2,4,3,4,2,6,7,3,1
12:00,3,6,3,8,8,5,4,0,1,2,6,4,5,3,5,2,0,3,6,4,6,4,3,6,2,5,10,6,3
13:00,1,7,4,13,6,12,7,5,4,5,3,6,6,6,2,2,2,4,5,7,2,1,3,2,7,2,6,2,2
14:00,9,1,5,8,4,7,2,8,3,1,8,7,6,6,3,4,0,5,3,2,1,4,6,4,7,7,7,4,2
15:00,4,6,4,6,6,2,6,1,5,5,5,5,3,3,8,2,0,3,2,7,1,10,4,7,3,4,8,3,3
16:00,4,6,2,5,11,10,1,9,2,6,2,10,3,4,4,3,4,5,2,8,6,8,2,1,3,2,6,4,3
17:00,6,9,7,8,7,5,7,0,1,2,6,4,4,5,3,8,3,4,3,4,4,4,5,3,1,5,3,5,2
18:00,5,5,4,9,5,5,1,3,2,12,7,5,4,3,3,5,2,6,1,6,3,6,2,7,3,1,6,0,1
19:00,5,2,6,5,3,8,5,1,1,6,4,0,3,5,3,6,3,0,2,0,3,3,6,5,1,2,2,1,2
20:00,5,2,9,2,4,11,5,4,6,6,3,3,3,5,3,4,5,5,2,3,2,3,3,3,6,2,7,6,4
21:00,5,3,9,4,3,1,6,5,5,7,6,1,4,4,1,4,7,3,7,6,5,2,0,4,7,7,4,3,2
22:00,4,4,9,8,3,3,5,3,0,6,5,1,4,2,2,3,4,4,4,5,5,4,2,10,2,4,7,4,2
23:00,2,4,6,6,4,3,7,2,1,2,4,1,2,4,3,0,6,4,4,3,4,5,1,5,2,1,3,3,2
